miscData,1,,
startTime,
0
,
productOrders2,20,,
index,product,size,arrivalTime,dueTime,
1,1,1,18-09-2018T01:52:40,24-09-2018T16:51:52
2,2,7,18-09-2018T04:22:28,25-09-2018T11:43:33
3,1,10,18-09-2018T05:10:02,21-09-2018T12:14:33
4,1,8,18-09-2018T05:31:16,21-09-2018T14:41:32
5,1,5,18-09-2018T06:46:45,22-09-2018T06:28:31
6,2,5,18-09-2018T08:46:25,21-09-2018T22:00:53
7,1,5,18-09-2018T09:39:24,20-09-2018T13:34:47
8,2,4,18-09-2018T09:43:37,20-09-2018T21:12:00
9,1,6,18-09-2018T12:49:34,22-09-2018T22:29:29
10,1,9,18-09-2018T13:59:08,26-09-2018T15:46:00
11,2,6,18-09-2018T16:45:59,24-09-2018T01:23:30
12,2,8,18-09-2018T21:17:14,24-09-2018T01:08:10
13,2,3,19-09-2018T01:37:08,22-09-2018T22:51:01
14,1,1,19-09-2018T04:01:14,26-09-2018T11:18:06
15,1,2,19-09-2018T04:44:49,22-09-2018T12:14:02
16,1,8,19-09-2018T05:02:45,24-09-2018T21:21:15
17,1,6,19-09-2018T10:28:05,24-09-2018T18:03:10
18,2,10,19-09-2018T19:06:01,26-09-2018T17:49:36
19,1,7,20-09-2018T01:03:27,28-09-2018T00:41:43
20,1,1,20-09-2018T01:21:42,26-09-2018T07:55:31
,
